code,name,region,type,capital,population2010,population2015,population2020,population2024,growth2015,growth2020,growth10y,growth2024,area,municipalities,cities,barangays,cong_district,aka
ABR,Abra,15,PRV,Bangued,234733,241160,250985,246948,0.52,0.84,0.27,-0.39,4165.25,27,0,303,1,
AGN,Agusan del Norte,13,PRV,Cabadbaran,332487,354503,387503,404100,1.23,1.89,1.48,1.01,2730.24,10,1,166,2,
AGS,Agusan del Sur,13,PRV,Prosperidad,656418,700653,739367,740531,1.25,1.14,0.62,0.04,9989.52,13,1,314,2,
AKL,Aklan,6,PRV,Kalibo,535725,574823,615475,634422,1.35,1.45,1.11,0.73,1821.42,17,0,327,2,
ALB,Albay,5,PRV,Legazpi,1233432,1314826,1374768,1379398,1.22,0.94,0.54,0.08,2575.77,15,3,720,3,
ANG,Angeles,3,HUC,,326336,411634,462928,483452,4.52,2.5,1.82,1.05,60.27,,,33,0,
ANT,Antique,6,PRV,San Jose de Buenavista,546031,582012,612974,643173,1.22,1.1,1.13,1.16,2729.17,18,0,590,1,
APA,Apayao,15,PRV,Kabugao,112636,119184,124366,126587,1.08,0.9,0.68,0.43,4413.35,7,0,133,1,
AUR,Aurora,3,PRV,Baler,201233,214336,235750,240824,1.21,2.02,1.31,0.51,3147.32,8,0,151,1,
BCL,Bacolod,16,HUC,,511820,561875,600783,624787,1.79,1.42,1.2,0.94,162.67,,,61,1,
BAG,Baguio,15,HUC,,318676,345366,366358,368426,1.54,1.25,0.73,0.14,57.51,,,129,1,
BAS,Basilan,14,PRV,Lamitan,391179,459367,556586,693244,3.23,4.45,5.14,5.93,1327.23,11,2,255,1,
BAN,Bataan,3,PRV,Balanga,687482,760650,853373,891440,1.94,2.45,1.79,1.05,1372.98,11,1,237,3,
BTN,Batanes,2,PRV,Basco,16604,17246,18831,18937,0.72,1.87,1.05,0.13,219.01,6,0,29,1,
BTG,Batangas,40,PRV,Batangas,2377395,2694335,2908494,2994795,2.41,1.62,1.19,0.7,3119.75,29,5,1078,6,
BEN,Benguet,15,PRV,La Trinidad,403944,446224,460683,473190,1.91,0.67,0.66,0.64,2769.08,13,0,140,1,
BIL,Biliran,8,PRV,Naval,161760,171612,179312,184095,1.13,0.93,0.79,0.63,536.01,8,0,132,1,
BOH,Bohol,7,PRV,Tagbilaran,1255128,1313560,1394329,1412726,0.87,1.26,0.82,0.31,4820.95,47,1,1109,3,
BUK,Bukidnon,10,PRV,Malaybalay,1299192,1415226,1541308,1601902,1.64,1.81,1.4,0.93,10498.59,20,2,464,4,
BUL,Bulacan,3,PRV,Malolos,2924433,3292071,3708890,3876806,2.28,2.54,1.85,1.07,2796.1,20,4,569,7,
BUT,Butuan,13,HUC,,309709,337063,372910,385530,1.62,2.15,1.52,0.8,816.62,,,86,0,
CAG,Cagayan,2,PRV,Tuguegarao,1124773,1199320,1268603,1284676,1.23,1.19,0.77,0.3,9295.75,28,1,820,3,
CDO,Cagayan de Oro,10,HUC,,602088,675950,728402,741617,2.23,1.58,1.04,0.43,412.8,,,80,2,
