mcode,code,PSGC,name,old_name,official_name,type,sub_district,cong_district,population_2010,population_2015,population_2020,population_2024,growth_2015,growth_2020,growth_decade,growth_2024,area,barangays,region,province,cong_shared
MML-KL,KL,137501000,Caloocan,,,HUC,3,3L,1489040,1583978,1661584,1712945,1.18,1.01,0.88,0.73,53.33,188,0,MML,
MML-LP,LP,137601000,Las Piñas,,,HUC,4,1L,552573,588894,606293,615549,1.22,0.61,0.5,0.36,32.02,20,0,MML,
MML-MK,MK,137602000,Makati,,,HUC,4,2L,263683,280150,292743,309770,1.16,0.93,1.13,1.37,21.57,23,0,MML,
MML-ML,ML,137502000,Malabon,,,HUC,3,1L,353337,365525,380522,389929,0.65,0.85,0.73,0.59,15.96,21,0,MML,
MML-MD,MD,137401000,Mandaluyong,,,HUC,2,1L,328699,386276,425758,465902,3.12,2.07,2.12,2.18,11.06,27,0,MML,
MML-MN,MN,133900000,Manila,,,HUC,1,6L,1652171,1780148,1846513,1902590,1.43,0.77,0.75,0.72,42.88,897,0,MML,
MML-MR,MR,137402000,Marikina,,,HUC,2,2L,424150,450741,456059,471323,1.16,0.25,0.5,0.79,22.64,16,0,MML,
MML-MU,MU,137603000,Muntinlupa,,,HUC,4,1L,459941,504509,543445,552225,1.78,1.58,1.02,0.39,41.67,9,0,MML,
MML-NV,NV,137503000,Navotas,,,HUC,3,1L,249131,249463,247543,252878,0.03,-0.16,0.15,0.51,11.51,18,0,MML,
MML-PR,PR,137604000,Parañaque,,,HUC,4,2L,588126,664822,689992,703245,2.39,0.75,0.61,0.46,47.28,16,0,MML,
MML-PY,PY,137605000,Pasay,,Pasay City,HUC,4,1L,392869,416522,440656,453186,1.12,1.19,0.95,0.67,18.64,201,0,MML,
MML-PG,PG,137403000,Pasig,,,HUC,2,1L,669773,755300,803159,853050,2.31,1.3,1.37,1.46,31.46,30,0,MML,
MML-PT,PT,137606000,Pateros,,,MUN,4,1S,64147,63840,65227,67319,-0.09,0.45,0.6,0.76,1.76,10,0,MML,
MML-QE,QE,137404000,Quezon,,Quezon City,HUC,2,6L,2761720,2936116,2960048,3084270,1.17,0.17,0.55,0.99,165.33,142,0,MML,
MML-SJ,SJ,137405000,San Juan,,,HUC,2,1L,121430,122180,126347,134312,0.12,0.71,1.07,1.48,5.87,21,0,MML,
MML-TG,TG,137607000,Taguig,,,HUC,4,1L1S,909829,1107367,1223595,1308085,3.81,2.12,1.88,1.61,54.05,38,0,MML,
MML-VL,VL,137504000,Valenzuela,,,HUC,3,2L,575356,620422,714978,725173,1.45,3.03,1.76,0.34,45.75,33,0,MML,
ILN-AA,AA,012801000,Adams,,,MUN,1,1D,1785,1792,2189,2279,0.07,4.3,2.73,0.97,159.31,1,1,ILN,
ILN-BC,BC,012802000,Bacarra,,,MUN,1,1D,31648,32215,33496,32734,0.34,0.82,0.18,-0.55,65.32,43,1,ILN,
ILN-BD,BD,012803000,Badoc,,,MUN,2,2D,30708,31616,32530,32832,0.56,0.6,0.42,0.22,76.68,31,1,ILN,
ILN-BG,BG,012804000,Bangui,,,MUN,1,1D,15025,14672,15019,15227,0.59,0.49,0.42,0.33,108.76,14,1,ILN,
ILN-BN,BN,012805000,Banna,Espiritu,,MUN,2,2D,19051,19438,19297,19363,0.38,-0.15,-0.04,0.08,92.73,20,1,ILN,
ILN-BT,BT,012806000,Batac ,,,CC,2,2D,53542,55201,55484,56781,0.58,0.11,0.32,0.56,161.06,43,1,ILN,
ILN-BR,BR,012807000,Burgos,,,MUN,1,1D,9687,9777,10759,10962,0.18,2.03,1.29,0.45,128.9,11,1,ILN,
ILN-CA,CA,012808000,Carasi,,,MUN,1,1D,1473,1567,1607,1775,1.18,0.53,1.41,2.41,82.97,3,1,ILN,
